time,delta
58.09,33.83333333333334
58.09,33.8
58.1,33.866666666666674
58.1,33.93333333333334
58.1,33.900000000000006
58.1,33.900000000000006
58.1,33.96666666666667
58.1,34.0
58.1,34.03333333333333
58.1,34.03333333333333
58.1,34.06666666666666
58.1,34.10000000000001
58.11,34.06666666666668
58.11,34.033333333333346
58.11,34.0
58.11,34.0
58.11,34.033333333333346
58.11,34.03333333333333
58.11,34.03333333333333
58.11,34.03333333333333
58.11,34.06666666666666
58.11,34.03333333333333
58.12,34.099999999999994
58.12,34.13333333333334
58.12,34.13333333333334
58.12,34.16666666666667
58.12,34.233333333333334
58.12,34.233333333333334
58.12,34.266666666666666
58.12,34.266666666666666
58.12,34.366666666666674
58.12,34.466666666666654
58.13,34.466666666666654
58.13,34.46666666666667
58.13,34.53333333333333
58.13,34.53333333333333
58.13,34.5
58.13,34.5
58.13,34.5
58.13,34.53333333333333
58.13,34.5
58.13,34.5
58.14,34.599999999999994
58.14,34.7
58.14,34.83333333333333
58.14,34.866666666666674
58.14,34.900000000000006
58.14,34.93333333333332
58.14,34.96666666666667
58.14,35.03333333333333
58.14,35.06666666666666
58.14,35.133333333333326
58.15,35.133333333333326
58.15,35.133333333333326
58.15,35.19999999999999
58.15,35.2
58.15,35.16666666666666
58.15,35.23333333333332
58.15,35.233333333333334
58.15,35.3
58.15,35.233333333333334
58.15,35.2
58.16,35.3
58.16,35.33333333333333
58.16,35.366666666666674
58.16,35.43333333333334
58.16,35.5
58.16,35.533333333333346
58.16,35.56666666666666
58.16,35.599999999999994
58.16,35.66666666666666
58.16,35.7
58.17,35.7
58.17,35.7
58.17,35.66666666666667
58.17,35.66666666666667
58.17,35.66666666666667
58.17,35.63333333333334
58.17,35.63333333333334
58.17,35.63333333333334
58.17,35.60000000000001
58.17,35.599999999999994
58.18,35.7
58.18,35.766666666666666
58.18,35.8
58.18,35.83333333333333
58.18,35.86666666666666
58.18,35.86666666666666
58.18,35.93333333333332
58.18,35.93333333333332
58.18,36.033333333333346
58.18,36.06666666666666
58.19,36.099999999999994
58.19,36.133333333333326
58.19,36.13333333333334
58.19,36.10000000000001
58.19,36.10000000000001
58.19,36.033333333333346
58.19,36.06666666666668
58.19,36.06666666666668
58.19,36.0
58.19,36.0
58.2,36.06666666666668
58.2,36.06666666666666
58.2,36.06666666666666
58.2,36.133333333333326
58.2,36.16666666666666
58.2,36.233333333333334
58.2,36.266666666666666
58.2,36.3
58.2,36.36666666666666
58.2,36.39999999999999
58.21,36.43333333333332
58.21,36.43333333333332
58.21,36.43333333333334
58.21,36.43333333333334
58.21,36.46666666666667
58.21,36.5
58.21,36.5
58.21,36.5
58.21,36.5
58.21,36.46666666666667
58.22,36.5
58.22,36.53333333333333
58.22,36.53333333333333
58.22,36.56666666666666
58.22,36.60000000000001
58.22,36.733333333333334
58.22,36.766666666666666
58.22,36.8
58.22,36.86666666666666
58.22,36.86666666666666
58.23,36.89999999999999
58.23,36.96666666666667
58.23,36.96666666666667
58.23,36.93333333333334
58.23,36.93333333333334
58.23,36.96666666666667
58.23,36.96666666666667
58.23,36.93333333333332
58.23,36.89999999999999
58.23,36.900000000000006
58.24,36.900000000000006
58.24,36.93333333333334
58.24,36.900000000000006
58.24,36.93333333333334
58.24,36.93333333333334
58.24,36.89999999999999
58.24,36.89999999999999
58.24,36.966666666666654
58.24,37.03333333333333
58.24,37.03333333333333
58.25,37.0
58.25,36.966666666666654
58.25,36.966666666666654
58.25,37.0
58.25,37.0
58.25,36.96666666666667
58.25,36.93333333333332
58.25,36.89999999999999
58.25,36.93333333333332
58.25,36.96666666666667
58.26,37.0
58.26,36.96666666666667
58.26,37.0
58.26,37.03333333333333
58.26,37.06666666666668
58.26,37.033333333333346
58.26,37.03333333333333
58.26,37.03333333333333
58.26,37.06666666666666
58.26,37.06666666666666
58.27,37.06666666666666
58.27,37.06666666666668
58.27,37.10000000000001
58.27,37.06666666666668
58.27,37.033333333333346
58.27,37.033333333333346
58.27,37.03333333333333
58.27,37.0
58.27,36.93333333333334
58.27,36.93333333333334
58.28,37.0
58.28,37.033333333333346
58.28,36.96666666666667
58.28,36.96666666666667
58.28,37.0
58.28,37.0
58.28,37.0
58.28,37.03333333333333
58.28,37.03333333333333
58.28,37.03333333333333
58.29,37.0
58.29,36.966666666666654
58.29,36.96666666666667
58.29,36.96666666666667
58.29,36.900000000000006
58.29,36.900000000000006
58.29,36.866666666666674
58.29,36.866666666666674
58.29,36.866666666666674
58.29,36.83333333333333
58.3,36.83333333333333
58.3,36.83333333333334
58.3,36.80000000000001
58.3,36.8
58.3,36.83333333333334
58.3,36.866666666666674
58.3,36.86666666666666
58.3,36.86666666666666
58.3,36.86666666666666
58.3,36.89999999999999
58.31,36.83333333333333
58.31,36.8
58.31,36.83333333333333
58.31,36.766666666666666
58.31,36.69999999999999
58.31,36.66666666666666
58.31,36.633333333333326
58.31,36.56666666666666
58.31,36.53333333333333
58.31,36.5
58.32,36.46666666666667
58.32,36.46666666666667
58.32,36.46666666666667
58.32,36.43333333333334
58.32,36.43333333333334
58.32,36.39999999999999
58.32,36.43333333333332
58.32,36.46666666666667
58.32,36.46666666666667
58.32,36.5
58.33,36.43333333333332
58.33,36.39999999999999
58.33,36.39999999999999
58.33,36.39999999999999
58.33,36.36666666666666
58.33,36.33333333333333
58.33,36.3
58.33,36.266666666666666
58.33,36.233333333333334
58.33,36.2
58.34,36.133333333333326
58.34,36.16666666666666
58.34,36.16666666666667
58.34,36.16666666666667
58.34,36.2
58.34,36.2
58.34,36.2
58.34,36.2
58.34,36.16666666666667
58.34,36.16666666666667
58.35,36.06666666666666
58.35,36.0
58.35,35.93333333333332
58.35,35.89999999999999
58.35,35.86666666666666
58.35,35.83333333333333
58.35,35.8
58.35,35.766666666666666
58.35,35.733333333333334
58.35,35.69999999999999
58.36,35.66666666666666
58.36,35.63333333333334
58.36,35.60000000000001
58.36,35.56666666666668
58.36,35.533333333333346
58.36,35.5
58.36,35.53333333333333
58.36,35.53333333333333
58.36,35.5
58.36,35.5
58.37,35.46666666666667
58.37,35.36666666666666
58.37,35.33333333333333
58.37,35.33333333333333
58.37,35.2
58.37,35.16666666666666
58.37,35.133333333333326
58.37,35.133333333333326
58.37,35.099999999999994
58.37,35.06666666666666
58.38,35.06666666666666
58.38,35.03333333333333
58.38,35.0
58.38,34.96666666666667
58.38,34.96666666666667
58.38,34.96666666666667
58.38,34.96666666666667
58.38,34.93333333333334
58.38,34.900000000000006
58.38,34.86666666666666
58.39,34.8
58.39,34.733333333333334
58.39,34.733333333333334
58.39,34.7
58.39,34.66666666666667
58.39,34.66666666666667
58.39,34.60000000000001
58.39,34.533333333333346
58.39,34.533333333333346
58.39,34.46666666666667
58.4,34.39999999999999
58.4,34.400000000000006
58.4,34.366666666666674
58.4,34.33333333333334
58.4,34.366666666666674
58.4,34.3
58.4,34.3
58.4,34.266666666666666
58.4,34.233333333333334
58.4,34.233333333333334
58.41,34.13333333333334
58.41,34.13333333333334
58.41,34.13333333333334
58.41,34.13333333333334
58.41,34.13333333333334
58.41,34.099999999999994
58.41,34.03333333333333
58.41,33.96666666666667
58.41,33.93333333333334
58.41,33.900000000000006
58.42,33.83333333333334
58.42,33.83333333333334
58.42,33.80000000000001
58.42,33.766666666666666
58.42,33.766666666666666
58.42,33.733333333333334
58.42,33.733333333333334
58.42,33.733333333333334
58.42,33.7
58.42,33.733333333333334
58.43,33.66666666666666
58.43,33.599999999999994
58.43,33.56666666666666
58.43,33.53333333333333
58.43,33.5
58.43,33.5
58.43,33.46666666666667
58.43,33.43333333333334
58.43,33.366666666666674
58.43,33.3
58.44,33.266666666666666
58.44,33.233333333333334
58.44,33.2
58.44,33.2
58.44,33.16666666666667
58.44,33.133333333333326
58.44,33.13333333333334
58.44,33.16666666666667
58.44,33.16666666666667
58.44,33.16666666666667
58.45,33.06666666666668
58.45,33.0
58.45,32.96666666666667
58.45,32.89999999999999
58.45,32.766666666666666
58.45,32.733333333333334
58.45,32.66666666666666
58.45,32.599999999999994
58.45,32.56666666666666
58.45,32.5
58.46,32.400000000000006
58.46,32.366666666666674
58.46,32.366666666666674
58.46,32.366666666666674
58.46,32.39999999999999
