time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
87.329,54.66500000000002,-19.38499999999999,24.64500000000001,-9.671666666666681,43.46666666666667,-36.28833333333333,38.04666666666665,6.545000000000016
87.339,54.65166666666664,-19.386666666666656,24.67166666666668,-9.683333333333337,43.468333333333334,-36.28333333333333,38.04666666666665,6.541666666666629
87.349,54.63833333333332,-19.409999999999997,24.688333333333333,-9.698333333333323,43.465,-36.28499999999997,38.04999999999998,6.545000000000016
87.359,54.625,-19.413333333333327,24.71333333333334,-9.710000000000036,43.468333333333334,-36.28,38.04666666666665,6.541666666666629
87.369,54.613333333333316,-19.438333333333333,24.73333333333332,-9.721666666666692,43.465,-36.28166666666664,38.04833333333332,6.548333333333346
87.379,54.59833333333333,-19.461666666666673,24.77333333333334,-9.71666666666664,43.45500000000001,-36.28,38.04499999999999,6.543333333333294
87.389,54.58333333333334,-19.485000000000014,24.795000000000016,-9.731666666666683,43.45333333333335,-36.28166666666664,38.04833333333332,6.546666666666681
87.399,54.56833333333336,-19.48666666666665,24.819999999999993,-9.741666666666674,43.45500000000001,-36.278333333333336,38.04833333333332,6.541666666666629
87.409,54.54999999999998,-19.508333333333326,24.839999999999975,-9.75666666666666,43.45166666666668,-36.27666666666664,38.05333333333331,6.546666666666681
87.419,54.53333333333333,-19.53333333333333,24.85499999999999,-9.754999999999995,43.440000000000026,-36.27333333333334,38.04999999999998,6.543333333333294
87.429,54.51666666666668,-19.555000000000007,24.87833333333333,-9.766666666666652,43.436666666666696,-36.27333333333331,38.05333333333331,6.546666666666681
87.439,54.5033333333333,-19.57833333333332,24.918333333333322,-9.763333333333378,43.43833333333336,-36.271666666666675,38.05166666666665,6.541666666666629
87.449,54.48666666666668,-19.60166666666666,24.938333333333333,-9.78000000000003,43.43500000000003,-36.27499999999998,38.05666666666664,6.546666666666681
87.459,54.47333333333336,-19.603333333333353,24.96333333333334,-9.791666666666629,43.43833333333333,-36.27000000000001,38.05666666666664,6.541666666666629
87.469,54.45333333333332,-19.603333333333353,24.98666666666668,-9.805000000000007,43.43500000000003,-36.27333333333331,38.059999999999974,6.546666666666681
87.479,54.43833333333333,-19.626666666666665,25.021666666666675,-9.800000000000011,43.43666666666667,-36.27000000000001,38.05833333333331,6.541666666666629
87.489,54.41833333333335,-19.646666666666675,25.044999999999987,-9.811666666666667,43.433333333333366,-36.27166666666665,38.059999999999974,6.545000000000016
87.499,54.40166666666664,-19.64833333333334,25.07000000000002,-9.823333333333323,43.435,-36.26666666666665,38.059999999999974,6.541666666666629
87.509,54.380000000000024,-19.64833333333334,25.09166666666667,-9.83833333333331,43.4316666666667,-36.26833333333332,38.063333333333304,6.543333333333351
87.519,54.36333333333337,-19.64833333333334,25.11833333333334,-9.846666666666692,43.435,-36.264999999999986,38.06166666666664,6.539999999999964
