time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
18690,303,262,1175,1019,270,222,265,248
18691,315,273,803,655,263,221,268,248
18700,302,261,1176,1007,269,222,264,247
18701,314,272,805,657,263,221,268,248
18710,302,262,1178,1020,269,222,265,248
18711,315,272,788,659,262,220,268,248
18720,301,261,1183,1005,269,222,264,247
18721,315,272,804,663,263,221,268,248
18730,302,262,1182,1021,270,222,265,248
18731,315,272,805,670,263,221,268,248
18740,302,261,1183,1013,269,222,264,247
18741,315,272,797,659,262,221,268,248
18750,302,262,1181,1022,270,222,265,248
18751,315,272,802,660,263,221,268,248
18760,302,261,1181,1009,269,222,264,247
18761,315,272,796,660,263,220,268,248
18770,303,262,1176,1022,270,222,265,248
18771,314,272,800,661,263,221,268,248
18780,302,261,1179,1009,269,222,264,247
18781,315,272,795,661,263,220,267,247
18790,302,262,1182,1019,270,222,265,248
18791,315,272,803,663,263,221,268,248
18800,301,261,1179,1007,269,222,264,247
18801,315,272,791,658,262,220,268,248
18810,302,262,1181,1022,270,222,265,248
18811,315,272,798,659,263,221,268,248
18820,301,261,1178,1010,269,222,264,247
18821,315,272,793,656,262,220,268,248
18830,303,262,1184,1020,269,222,265,248
18831,315,272,799,661,263,221,268,248
18840,301,261,1181,1008,269,222,264,247
18841,314,272,795,658,263,221,268,248
18850,302,263,1182,1021,270,222,265,248
18851,315,272,805,665,263,221,268,248
18860,301,261,1187,1006,269,222,264,247
18861,315,272,798,660,263,221,268,248
18870,302,262,1179,1022,269,222,265,248
18871,314,272,798,660,263,221,268,248
18880,301,261,1180,1008,269,222,264,247
18881,315,272,797,658,263,221,268,248
18890,302,262,1184,1020,270,222,265,248
18891,315,272,813,670,264,221,268,249
18900,301,261,1185,1010,269,222,264,247
18901,315,272,793,659,263,220,268,248
18910,303,262,1180,1020,270,222,265,248
18911,315,272,805,663,263,221,268,248
18920,301,261,1181,1008,269,222,264,247
18921,315,272,796,662,263,221,268,248
18930,303,262,1181,1021,269,222,265,248
18931,315,273,802,663,263,221,268,248
18940,302,261,1183,1006,269,221,264,247
18941,315,272,795,661,263,220,268,248
18950,303,262,1184,1021,270,222,265,248
18951,315,272,801,663,263,221,268,248
18960,301,261,1184,1008,269,222,264,247
18961,315,272,798,659,263,221,268,248
18970,303,262,1184,1022,269,222,265,248
18971,315,272,804,662,263,221,268,248
18980,301,261,1183,1008,269,222,264,247
18981,315,272,795,656,262,220,267,248
18990,303,262,1183,1021,270,222,265,248
18991,315,272,800,662,263,221,268,248
19000,302,261,1187,1009,269,222,264,247
